speed,direction,direction_disp,x,y
1.9309,116.52,237.01,180.74,175.04
3.0696,115.93,268.4,180.67,175.14
1.4605,115.29,327.43,180.67,175.32
2.0484,114.44,342.64,180.74,175.37
2.7147,113.49,350.76,180.86,175.41
2.8207,112.42,4.5183,181.02,175.43
3.0732,111.16,16.646,181.19,175.42
3.5643,109.71,2.8861,181.36,175.37
3.9359,107.92,20.265,181.58,175.36
5.0657,105.99,19.772,181.8,175.27
7.5457,104.06,5.6879,182.09,175.17
9.5253,102.14,9.5553,182.54,175.13
11.023,100.51,7.5521,183.1,175.03
12.219,99.11,18.527,183.76,174.94
12.081,97.682,13.23,184.45,174.71
13.409,96.281,21.393,185.16,174.55
12.77,94.768,21.353,185.91,174.25
11.627,93.209,34.987,186.62,173.97
11.297,91.46,44.019,187.19,173.57
14.234,89.317,61.427,187.68,173.1
16.467,87.271,74.049,188.09,172.35
20.257,85.523,83.641,188.36,171.4
22.565,84.092,94.334,188.49,170.19
23.547,82.941,102.08,188.39,168.84
26.772,81.918,108.46,188.09,167.46
29.578,81.118,112.73,187.59,165.94
32.521,80.577,116.25,186.9,164.3
34.933,80.293,121.66,186.04,162.55
39.794,80.227,125.9,184.94,160.77
42.534,80.161,134.48,183.54,158.83
46.104,80.154,141.89,181.75,157.01
55.494,80.21,138.8,179.57,155.31
62.392,80.043,138.53,177.07,153.11
66.502,79.552,140.2,174.26,150.63
71.107,79.013,139.73,171.2,148.08
71.332,78.549,140.86,167.94,145.32
73.16,78.172,140.01,164.62,142.62
73.522,77.852,138.97,161.26,139.8
72.729,77.582,140.58,157.93,136.9
70.045,77.46,143.63,154.56,134.13
66.955,77.017,145.49,151.18,131.64
62.418,75.876,148.15,147.87,129.36
57.858,74.623,148.26,144.68,127.39
53.709,73.256,148.93,141.73,125.56
50.171,72.172,148.78,138.97,123.9
46.634,71.001,148.6,136.4,122.34
43.097,69.742,148.4,134.01,120.88
40.473,68.392,146.15,131.81,119.53
34.487,67.189,147.2,129.79,118.17
30.507,66.294,141.7,128.05,117.05
29.232,65.474,129.38,126.61,115.92
20.826,64.928,135.88,125.5,114.56
15.114,64.105,137.46,124.6,113.69
9.4638,63.284,137.43,123.94,113.08
6.5279,62.421,139.35,123.52,112.7
4.4972,61.598,123.06,123.22,112.44
